Meal ID,Name,Meal Type,Cuisine,Calories (kcal),Protein (g),Carbs (g),Fat (g),Protein Family,Carb Level,Format,Effort,Goal Fit,Parts,Components
"lunch_dinner_grilled-salmon-fillet-sauteed-veg-spaghetti-aglio-e-olio","Grilled salmon fillet + sauteed veg + spaghetti aglio e olio","lunch_dinner","western","669","45.75","54","31.8","fish","high","plate","high","high_protein, two_meals","150g grilled_salmon + 150g spaghetti_aglio_olio + 150g broccoli","Grilled salmon / Spaghetti aglio e olio (small portion) / Sautéed broccoli"
"lunch_dinner_rajma-chawal-raita","Rajma chawal + raita","lunch_dinner","indian","482","21.46","77.3","9.84","vegetarian","high","curry","medium","","180g rajma + 100g cooked_rice + 80g curd + 30g curry_base"," / Cooked rice / Mixed veg sabzi"
"lunch_dinner_chole-jowar-roti-raita","Chole + jowar roti + raita","lunch_dinner","indian","726","26.76","112.56","18.4","vegetarian","high","curry","high","two_meals","200g chole + 2piece jowar_roti + 80g curd + 40g curry_base"," / Jowar roti (millet) / "
"lunch_dinner_vietnamese-chicken-pho","Vietnamese chicken pho","lunch_dinner","asian","394","48.62","31.44","5.8","chicken","medium","soup","medium","high_protein, low_carb","150g chicken_breast + 120g rice_noodles + 80g mixed_salad","Chicken breast / Rice noodles / Mixed salad"
"lunch_dinner_grilled-steak-mixed-greens-salad","Grilled steak + mixed greens salad","lunch_dinner","western","480","48.75","4.95","29.1","red_meat","low","salad","medium","high_protein, low_carb, two_meals","180g beef_steak + 150g mixed_salad","Beef steak / No carb / Mixed greens salad"
"lunch_dinner_thai-pad-krapow-rice","Thai pad krapow + rice","lunch_dinner","asian","428","49.3","31","9.7","chicken","medium","plate","medium","high_protein, low_carb","150g chicken_breast + 100g cooked_rice + 20g curry_base","Chicken breast / Cooked rice / Sautéed peppers"
"lunch_dinner_mutton-keema-jowar-roti","Mutton keema + jowar roti","lunch_dinner","indian","670","34.46","52.5","34.06","red_meat","high","curry","high","two_meals","150g mutton_keema + 2piece jowar_roti + 30g curry_base","Mutton keema / Jowar roti (millet) / "
"lunch_dinner_arhar-dal-rice-matar-paneer","Arhar dal + rice + matar paneer","lunch_dinner","indian","669","31.7","67","29.5","vegetarian","high","curry","high","two_meals","150g arhar_dal + 100g cooked_rice + 100g paneer + 40g curry_base","Paneer / Cooked rice / Mixed veg sabzi"
"lunch_dinner_chicken-curry-jowar-roti-dal","Chicken curry + jowar roti + dal","lunch_dinner","indian","736","61.06","78","16.92","chicken","high","curry","high","high_protein, two_meals","150g chicken_breast + 2piece jowar_roti + 120g arhar_dal + 40g curry_base","Chicken breast / Jowar roti (millet) / Mixed veg sabzi"
"lunch_dinner_grilled-fish-pumpkin-salad","Grilled fish + pumpkin salad","lunch_dinner","western","308","37.8","18","9","fish","low","salad","medium","high_protein, low_carb","150g fish_fillet + 150g pumpkin_salad","Fish fillet / No carb / Pumpkin salad"
"lunch_dinner_grilled-salmon-sauteed-veg-garlic-rice","Grilled salmon + sauteed veg + garlic rice","lunch_dinner","western","514","40","35","24.5","fish","medium","plate","medium","high_protein, two_meals","150g grilled_salmon + 100g garlic_rice + 100g broccoli","Grilled salmon / Garlic rice (small portion) / Sautéed broccoli"
"lunch_dinner_chicken-soup-smoked-salmon-salad","Chicken soup + smoked salmon salad","lunch_dinner","western","302","50.3","3.3","8.1","mixed","low","soup","medium","high_protein, low_carb","100g chicken_breast + 100g smoked_salmon + 100g mixed_salad","Chicken breast / No carb / Smoked salmon salad"
"lunch_dinner_paneer-sabzi-dal-raita","Paneer sabzi + dal + raita","lunch_dinner","indian","628","36.2","42.8","34.5","vegetarian","medium","curry","medium","two_meals","120g paneer + 150g arhar_dal + 100g curd + 30g curry_base","Paneer / No carb / Mixed veg sabzi"
"lunch_dinner_pork-chop-pumpkin-salad","Pork chop + pumpkin salad","lunch_dinner","western","562","44.7","18","33","red_meat","low","salad","medium","high_protein, low_carb, two_meals","180g pork_chop + 150g pumpkin_salad","Pork chop / No carb / Pumpkin salad"
"lunch_dinner_pork-chop-mixed-greens-salad","Pork chop + mixed greens salad","lunch_dinner","western","449","43.35","4.95","27.3","red_meat","low","salad","medium","high_protein, low_carb","180g pork_chop + 150g mixed_salad","Pork chop / No carb / Mixed greens salad"
"lunch_dinner_tandoori-chicken-smoked-chicken-avocado-salad","Tandoori chicken + smoked chicken + avocado salad","lunch_dinner","indian","366","57.3","5.42","11.43","chicken","low","salad","medium","high_protein, low_carb","150g chicken_breast + 50g smoked_salmon + 0.5piece avocado + 100g mixed_salad","Chicken breast / No carb / Smoked chicken + avocado salad"
"lunch_dinner_broccoli-soup-grilled-fish-spaghetti-aglio-e-olio","Broccoli soup + grilled fish + spaghetti aglio e olio","lunch_dinner","western","433","45","39.5","12.2","fish","medium","soup","medium","high_protein","150g fish_fillet + 150g broccoli + 100g spaghetti_aglio_olio","Fish fillet / Spaghetti aglio e olio (small portion) / Sautéed broccoli"
"lunch_dinner_saag-meat-jowar-roti-dal","Saag meat + jowar roti + dal","lunch_dinner","indian","771","45.36","74","31.11","red_meat","high","curry","high","high_protein, two_meals","150g mutton_keema + 150g spinach + 2piece jowar_roti + 100g arhar_dal","Lamb (seekh kabab) / Jowar roti (millet) / Sautéed spinach"
"lunch_dinner_kofta-dal-jowar-roti","Kofta + dal + jowar roti","lunch_dinner","indian","919","41.96","85.5","42.76","red_meat","high","curry","high","high_protein, two_meals","150g lamb_seekh_kabab + 150g arhar_dal + 2piece jowar_roti + 30g curry_base","Lamb (seekh kabab) / Jowar roti (millet) / Mixed veg sabzi"
"lunch_dinner_kababs-dal-gobi-jowar-roti","Kababs + dal + gobi + jowar roti","lunch_dinner","indian","823","40.86","78.5","36.81","red_meat","high","plate","high","high_protein, two_meals","150g lamb_seekh_kabab + 150g cauliflower + 100g arhar_dal + 2piece jowar_roti","Lamb (seekh kabab) / Jowar roti (millet) / Cauliflower"
"lunch_dinner_fish-curry-rice","Fish curry + rice","lunch_dinner","indian","446","38.38","41.1","13.36","fish","medium","curry","medium","high_protein","150g fish_fillet + 120g cooked_rice + 50g curry_base","Fish fillet / Cooked rice / "
"lunch_dinner_sweet-potato-curry-kaala-chanaa-sabzi-jowar-roti","Sweet potato curry + kaala chanaa sabzi + jowar roti","lunch_dinner","indian","731","22.51","126.6","14.61","vegetarian","high","curry","high","","150g sweet_potato + 150g kaala_chanaa + 2piece jowar_roti + 40g curry_base","Kaala chanaa (black chickpeas) / Jowar roti (millet) / Sweet potato curry"
"lunch_dinner_chicken-red-curry-rice","Thai chicken red curry + rice","lunch_dinner","asian","504","50.18","39.6","13.76","chicken","medium","curry","medium","high_protein, two_meals","150g chicken_breast + 120g cooked_rice + 40g curry_base","Chicken breast / Cooked rice / Red curry vegetables"
"lunch_dinner_veg-kofta-dal-jowar-roti-seekh-kababs","Vegetable kofta + dal + Jowar roti + two seekh kababs","lunch_dinner","indian","740","30.88","62.5","38.88","red_meat","high","curry","high","two_meals","80g veg_kofta + 100g arhar_dal + 1piece jowar_roti + 100g lamb_seekh_kabab + 30g curry_base","Lamb seekh kabab / Jowar roti / Vegetable kofta"
"snack_nuts-seeds-protein-shake","Nuts, seeds + protein shake","snack","global","320","30.99","11","17.01","vegetarian","low","plate","low","low_carb","30g nuts_seeds + 1piece protein_shake","Mixed nuts & seeds / No carb / "
"snack_sweet-potato-chaat","Sweet potato chaat","snack","global","135","3","31.5","0.15","vegetarian","medium","chaat","low","low_carb","150g sweet_potato"," / Sweet potato / "
"snack_kaala-chana-chaat","Kaala chana chaat","snack","global","246","13.35","41.1","3.9","vegetarian","medium","chaat","low","","150g kaala_chanaa","Kaala chana / No carb / "
"snack_hummus-crackers-vegetable-salad","Hummus + crackers + vegetable salad (carrot, raddish, cucumber)","snack","global","274","8.94","31.38","13.08","vegetarian","medium","salad","medium","low_carb","60g hummus + 30g crackers + 120g raw_vegetables","Hummus / Crackers / Raw vegetables"
"snack_avocado-cheese-toast","Avocado/cheese toast","snack","global","193","9.39","13.88","11.56","vegetarian","low","toast","low","low_carb","0.5piece avocado + 1slice cheese_slice + 1slice whole_wheat_toast"," / Whole wheat toast / Avocado"
